generation;fitness;q1;q2;home_venue;fitness_sum
540;3984923;1700000;1345000;155000;477781101
541;3984923;1700000;1345000;155000;469523583
542;3984923;1700000;1345000;155000;470779765
543;3984923;1700000;1345000;155000;469097081
544;3984923;1700000;1345000;155000;463513453
545;3984923;1700000;1345000;155000;470303333
546;3984923;1700000;1345000;155000;462662314
547;3984923;1700000;1345000;155000;477665843
548;3984923;1700000;1345000;155000;491881165
549;3984923;1700000;1345000;155000;487219229
550;3984923;1700000;1345000;155000;473269390
551;3984923;1700000;1345000;155000;474921156
552;3984923;1700000;1345000;155000;487936626
553;3984923;1700000;1345000;155000;478824479
554;3984923;1700000;1345000;155000;478839894
555;3984923;1700000;1345000;155000;480356292
556;3984923;1700000;1345000;155000;482044204
557;3984923;1700000;1345000;155000;480306287
558;3984923;1700000;1345000;155000;486285248
559;3984923;1700000;1345000;155000;484905457
560;3984923;1700000;1345000;155000;486006057
561;3984923;1700000;1345000;155000;479116775
562;3984923;1700000;1345000;155000;478069654
563;3984923;1700000;1345000;155000;467279732
564;3984923;1700000;1345000;155000;475555653
565;3984923;1700000;1345000;155000;479650303
566;3984923;1700000;1345000;155000;482740578
567;3984923;1700000;1345000;155000;474346217
568;3984923;1700000;1345000;155000;473349079
569;3984923;1700000;1345000;155000;471094848
570;3984923;1700000;1345000;155000;467981467
571;3984923;1700000;1345000;155000;482555651
572;3984923;1700000;1345000;155000;471365869
573;3984923;1700000;1345000;155000;475864412
574;3984923;1700000;1345000;155000;462177081
575;3984923;1700000;1345000;155000;459286221
576;3984923;1700000;1345000;155000;462235842
577;3984923;1700000;1345000;155000;454921308
578;3984923;1700000;1345000;155000;449507960
579;3984923;1700000;1345000;155000;447037403
580;3984923;1700000;1345000;155000;444860150
581;3984923;1700000;1345000;155000;460187296
582;3984923;1700000;1345000;155000;447910607
583;3984923;1700000;1345000;155000;451833426
584;3984923;1700000;1345000;155000;448671363
585;3984923;1700000;1345000;155000;452053913
586;3984923;1700000;1345000;155000;457648689
587;3984923;1700000;1345000;155000;459288298
588;3984923;1700000;1345000;155000;466713771
589;3984923;1700000;1345000;155000;455989059
590;3984923;1700000;1345000;155000;459353146
591;3984923;1700000;1345000;155000;461261080
592;3984923;1700000;1345000;155000;465317931
593;3984923;1700000;1345000;155000;464211191
594;3984923;1700000;1345000;155000;461592902
595;3984923;1700000;1345000;155000;449259357
596;3984923;1700000;1345000;155000;455080515
597;3984923;1700000;1345000;155000;458980849
598;3984923;1700000;1345000;155000;455844287
599;3984923;1700000;1345000;155000;476436520
600;3984923;1700000;1345000;155000;466601170
601;3984923;1700000;1345000;155000;460988881
602;3984923;1700000;1345000;155000;453639977
603;3984923;1700000;1345000;155000;460951893
604;3984923;1700000;1345000;155000;456922963
605;3984923;1700000;1345000;155000;446765411
606;3984923;1700000;1345000;155000;452934331
607;3984923;1700000;1345000;155000;448132750
608;3984923;1700000;1345000;155000;451537581
609;3984923;1700000;1345000;155000;441556017
610;3984923;1700000;1345000;155000;442359630
611;3984923;1700000;1345000;155000;451757642
612;3984923;1700000;1345000;155000;431756907
613;3984923;1700000;1345000;155000;437013852
614;3984923;1700000;1345000;155000;446700149
615;3984923;1700000;1345000;155000;463185907
616;3984923;1700000;1345000;155000;456925010
617;3984923;1700000;1345000;155000;464043857
618;3984923;1700000;1345000;155000;474258707
619;3984923;1700000;1345000;155000;463153571
